year,search term,sentence,score
2014,scholarship|awards,"Darkzi0n wrote:  bcos final gpa or o lvl scores might not be the onli factors they consider. other factors include wether u have taken certain subjects during o'lvl (such as Amath for ntu econs)... certain subjects or the poly course u were from may also be given different weightage for different courses. Cheeyarn, you may wish to take note of the above point^. This reason may prove to be true for some NTU courses. If you really wish to get into NTU, I suggest you re-take subjects you did badly/mediocre in your O'levels and try to score an A.cheeyarn wrote:  Hi, i have really no idea... it has bugging me for quite awhile. I took amaths and economics during my secondary and poly time respectively. I also applied for nus fass for the previous 2 years, but they rejected me too which i dunno why.  Could it be the reason that i am serving ns now? I kinda at a loss about what to do. I dont really wanna go SIM with my gpa! No! In fact, NS should be an advantage especially if you get into command school! (That is also considered a non-accademic achievement) Other awards like best soldier may help too! NS is the best time to talk about your experiences and what made you decide (forgive me if I sound too drama or cliche) on going into that dream course! NTU/NUS/SMU requires students to write more about themselves for the courses they require to get into/why and there is a portion for non-accademic achievements. Remember to fill that up! Don't think it is not important because there are many people with the same GPA as you, so how do they consider applicants? To see if they have any additional talents/achievements they can bring with them outside their GPA!!! I cannot stress this enough, especially if you are from a poly! Also, I feel you about not being able to get into a local university of my choice! I screwed up my admission to get into my several dream courses at various Local U's during the first year because I thought they only look at GPA, and hence I didn't really bother much with the interview/and did not fill my non-CCA achievements. I thought I would definitely secure a place butI was so FRIGGIN WRONG. I felt like I was going to die literally because I couldn't get into a Local U. It was awful because I worked so friggin hard in poly D': Fortunately, I managed to pull myself together and manage to not screw up the second time and got into a local U with a course of my choice  So, DONT GIVE UP BRO. Now that you are closer to ORD, find some time to improve yourself, hunt down your poly lecturer to write you that testimonial letter for your university admission as they will really help. You are a merit holder, I am sure you have worked hard for it and paid attention during leessons. Your lecturers 会给你面子 if you are sincere and ask nicely!   If all else fails, there is always a local university route outside of NTU/NUS and it can be even better than the two.. but I can't say here.. later people will think I am biased towards certain university...  Just request for a PM if you want more info!",12.150330771010813
2014,scholarship|awards,"tyr9292 wrote:  You mentioned that you will be doing Jap Studies in FASS, how about NTU? I think you shouldn't get too caught up with reputation right now, it is something that shouldn't take precedence over your interests and your desired career - mainly because it isn't as important as you think it is. I've a senior, an IP student from one of the top JCs who scored straight B's for his A levels did not get called for an interview for his 1st nor 2nd choice at SMU. Fella decided to go to SIM to pursue his studies in a similar field and is earning quite a lot working as a trader for a fund now.  There are a lot of ways you can monetize your degree - as long as you are doing what you want to do you will think of ways to do so. If you're going to do Jap studies but you're interested in Finance, then do take some finance mods if that is possible, join a finance CCA, take up CFA, participate in competitions, write a paper on Japan and show your employer that you are well versed with Jap culture and at the same time highly passionate (and active) in the finance side of things - you will be an amazing hire for a company looking to expand into / their operations in Japan.  It is important for us not to get caught up with the rankings. I cannot stress this enough - at the end of the day, it is who you are, what you've done and how you're working towards your goals that matter, not the reputation of your University.  Just to share: the decision for me was simple back then - I've sorted out my interests, understood what I needed to do... so I picked the one that's closest to where I live  And my parents are both members of KRGH so that made the choice even more obvious! Thanks for the great advice!  I am offered to do Linguistics in NTU, and it's a more attractive offer now especially since I am offered a scholarship there. The truth is, I love languages, and I'm obsessed with Japanese as well. Been learning the language since P5, over 9 years liao. Been exposed to the culture since I was born, so I am very influenced and in love with it. But still, I don't really see the point in doing Japanese Studies.  I am a Tourism/Business student in NP, so I have both business and hospitality backgrounds to fall upon. I am thinking of being a translator/interpreter, but doing Jap Studies would be pointless since I can't just concentrate on just one language. Being an Eng teacher in Japan would be nice as well, and that would require linguistics studies... The worst thing is, both degrees have one of the lowest starting salary among all the degrees, am now hesitating on whether to appeal to NBS instead... :/ cGPA: ard 3.82 O level: L1R5=4, L1R4=6",11.74114991959922
2014,scholarship|awards,"Kazuko0223 wrote:  I'm just scared that in the end, Japanese Studies also not very employable. :/ Thanks for the explanations! I'm just fretting since reputation of the unis seem to be very important... And locally both may just be first and second, but internationally they are so very far apart. I might just accept NTU's since they offered a full scholarship... No uni debts to worry about in the future. As for NUS... Sigh.  You mentioned that you will be doing Jap Studies in FASS, how about NTU? I think you shouldn't get too caught up with reputation right now, it is something that shouldn't take precedence over your interests and your desired career - mainly because it isn't as important as you think it is. I've a senior, an IP student from one of the top JCs who scored straight B's for his A levels did not get called for an interview for his 1st nor 2nd choice at SMU. Fella decided to go to SIM to pursue his studies in a similar field and is earning quite a lot working as a trader for a fund now.  There are a lot of ways you can monetize your degree - as long as you are doing what you want to do you will think of ways to do so. If you're going to do Jap studies but you're interested in Finance, then do take some finance mods if that is possible, join a finance CCA, take up CFA, participate in competitions, write a paper on Japan and show your employer that you are well versed with Jap culture and at the same time highly passionate (and active) in the finance side of things - you will be an amazing hire for a company looking to expand into / their operations in Japan.  It is important for us not to get caught up with the rankings. I cannot stress this enough - at the end of the day, it is who you are, what you've done and how you're working towards your goals that matter, not the reputation of your University.  Just to share: the decision for me was simple back then - I've sorted out my interests, understood what I needed to do... so I picked the one that's closest to where I live  And my parents are both members of KRGH so that made the choice even more obvious!",10.71821668104077
2014,scholarship|awards,"poingyo wrote:  where got camp take in 500+ freshie de??? chaos ah!!! Use to be 200 + (8 OG *33) but many complain they are unable to enter NBS camp and hence they change it to 500+ (16 OG*33). At first, i also believe it will be chaotic, guess things do not turn out as bad as how i will imagine haha.chugoweh wrote:  Oh really? I've asked around and many of my seniors and peers have told me it's pretty normal to obtain a B which is around 3.5. And that's considered the 'below average' for nbs. I would love to go nus! But ntu offered me the scholarship and it's too good an opportunity to pass!  However, till now I have received no news from nus accountancy. Application is still processing. Anyone received acceptance already? Wonder why is it taking so long. Or they might not want me. Sigh Not sure is the seniors or peers you mentioned from NBS. In NBS, i can assure you average is surely nearer to B+ than to B.   Also, personally, I will choose NBS over NUS business school.  Firstly, ranking wise, both school is on par with NBS having a longer history and hence better reputation.  Secondly, NUS average is around B while NBS average is around B+. (Both is by estimation) When working, people cares about what honors you get and having a better average helps. Thirdly, NBS cohort is way bigger than NUS cohort. It is known that it is easier to score better in a larger bell curve than a smaller one. Fourthly, NUS IGP is way higher than NBS. If the smaller bell curve isn't bad enough, the competition level in NUS is surely higher. At the end of the day, both schools provide the same degree so why go to the tougher one? Fifthly, NBS is 3 years as compared to NUS being 4 years (assuming you are aiming for honors)  Lastly, NUS do not allow students to go exchange after Y3S1 and all accounting mod need to be cleared in Singapore (making it way harder to go exchange) while NBS allow you to go any semester and most modules can be mapped overseas except for FRS related or law related modules (Eg: tax). PS: Since i am from NBS, i am probably slightly bias, but i believe the points i mention are surely legit and can be part of your consideration.",9.883874254361338
2014,scholarship|awards,"Scholarships are administered by individual university that will be dispersed to their own students. University can secure as many donors they want. Why is it not possible to have that ratio when we know the enrolment figures?GreatKen wrote:  Are you sure? The IGP of SMU's courses are lower than those compared to NTU / NUS. How are those people able to attain scholarships while NTU / NUS students are unable to do so when clearly, they needed higher 'A' lvl scores or Poly GPA? It is quite clear that scholarship review panels do take scores as a heavier weightage, aside from interview performance.  The number of intake across NUS / NTU / SMU is based on the economy and industry's ability to absorb the number of graduates. It is coordinated carefully by across different government ministries. Our economy is manufacturing-based, financial services, etc, hence, you would see the intake for those jobs are higher as compared to Sociology or English. I think it's not entirely accurate to explain the smaller cohort size using scholarships as a factor. There could be other restraints such as the school size, facilities, and number of lecturers.  PS: this post is made in an non-offensive manner. Each school has their unique strengths which other schools wouldn't able to replicate. I am just trying to understand photobuff's thinking. ",9.313170338643227
2014,scholarship|awards,"Kazuko0223 wrote:  Just got my final sem results today, and I have received my offers from NUS and NTU.  But I can't decide which to accept sia. I am a Tourism and Resort Management student in NP's Sch of Biz and ACC, and my cGPA around 3.8. Applied for NTU Linguistics and NUS FASS since I am sick of business already, and got my offers for both, but NTU offered me scholarship as well. In terms of reputation, NUS is better but I don't like the fact that I have to ""fight"" with people to choose my major later on in 2nd year, and have general studies the 1st year. What if I don't get what I want? Plus they use grades as bidding points for modules right?  NTU seem much more safer, but they go through ""random"" bidding, which isn't exactly any better IMO. They have direct honours program though, so everyone gets a chance. And both unis are relatively close to my house, since I live in between the two. Can't compare sch fees since both also the same. How to choose?!  Well, NTU is not 'random' bidding. Its fastest fingers first. Means those who click first will get. But for NTU, you will usually get the core modules that you want. Because you are only fighting with those from your course, which is a small cohort, usually even if you don't get, you can appeal and they can open up more slots for you. While in FASS, you are bidding with the 1000 odd other FASS students.  But FASS has more flexibility and more majors, if you choose to major something else other than linguistics, you can.",9.075918190065277
2014,scholarship|awards,"photobuff wrote:  I heard from my SMU friends that every 8 students 1 will get scholarship. I guess that is because the number of students per cohort is smaller than NUS and NTU. Are you sure? The IGP of SMU's courses are lower than those compared to NTU / NUS. How are those people able to attain scholarships while NTU / NUS students are unable to do so when clearly, they needed higher 'A' lvl scores or Poly GPA? It is quite clear that scholarship review panels do take scores as a heavier weightage, aside from interview performance.  The number of intake across NUS / NTU / SMU is based on the economy and industry's ability to absorb the number of graduates. It is coordinated carefully by across different government ministries. Our economy is manufacturing-based, financial services, etc, hence, you would see the intake for those jobs are higher as compared to Sociology or English. I think it's not entirely accurate to explain the smaller cohort size using scholarships as a factor. There could be other restraints such as the school size, facilities, and number of lecturers.  PS: this post is made in an non-offensive manner. Each school has their unique strengths which other schools wouldn't able to replicate. I am just trying to understand photobuff's thinking.",8.713053485267636
2014,scholarship|awards,"Just got my final sem results today, and I have received my offers from NUS and NTU.  But I can't decide which to accept sia. I am a Tourism and Resort Management student in NP's Sch of Biz and ACC, and my cGPA around 3.8. Applied for NTU Linguistics and NUS FASS since I am sick of business already, and got my offers for both, but NTU offered me scholarship as well. In terms of reputation, NUS is better but I don't like the fact that I have to ""fight"" with people to choose my major later on in 2nd year, and have general studies the 1st year. What if I don't get what I want? Plus they use grades as bidding points for modules right?  NTU seem much more safer, but they go through ""random"" bidding, which isn't exactly any better IMO. They have direct honours program though, so everyone gets a chance. And both unis are relatively close to my house, since I live in between the two. Can't compare sch fees since both also the same. How to choose?! ",8.414374816217869
2014,scholarship|awards,"kinsy123 wrote:  hi! I've been offered accountancy by all three unis, and I don't know which to choose. Does anyone have any advice on this? I went for smu acct interview and ntu scholarship interview, so you can ask me more abt them if any of you is interested. Thank you! Mentioned somewhere in this thread before.  For NUS vs NTU, I will choose NTU because 1) NBS average is around B+ while NUS is around B 2) NBS is 3 years with honors while NUS is 4 3) NBS exist longer than NUS business school having a better reputation internationally (similar in ranking though) 4) NUS have a smaller cohort making it harder to score 5) NUS IGP is higher meaning more intensive competition which again lead to harder to score 6) NUS accountancy cannot go on exchange after Y3S1 while NTU can go anytime after the first year. (NUS have a lot more module mandatory to clear in Singapore too making it harder to go exchange) For SMU, during my time i never choose that school at all reason being that it is a relatively new school without much international reputation, neither do i feel it can offer me more than NUS or NTU. Also, i am not a fan of SMU school culture and the lack of hall life (something i feel should be experience as a university student) After all being said, choose the school that offer you scholarship (If any)! ",8.030286479023182
2014,scholarship|awards,"Havok_ex wrote:  Probably, yes, you may be stuck with something you do not want. But I think that only happens with the more competitive majors, I don't think Japanese Studies is very competitive. Not sure, Im not from there. FASS used to be called the NIE of NUS if you get what I mean. But things have changed, their cut-off is way higher now than 5-6 years back. Last time people were quite skeptical about job prospects of humanities grads, but now not so. I'm just scared that in the end, Japanese Studies also not very employable. :/ Thanks for the explanations! I'm just fretting since reputation of the unis seem to be very important... And locally both may just be first and second, but internationally they are so very far apart. I might just accept NTU's since they offered a full scholarship... No uni debts to worry about in the future. As for NUS... Sigh.",7.883420170487022
